ALFFEB;EX;NOTAFINAL;PEC2;PEC3;PEC1
.10;NP;0;NP;NP;1
.40;NP;0;NP;NP;4
1;3,9;3.9;NP;NP;10
NP;NP;0;NP;NP;NP
1,3;1,6;1.6;2.5;NP;8
3;3,7;3.7;5;15;10
2,4;5,9;6.5;4.5;14.25;5
.80;3,6;3.6;2.5;0;3
NP;NP;0;NP;NP;NP
1,4;6,7;6.1;4.5;0;5
3;5,2;6.6;5;15;10
2,8;8;8.4;5;15;8
NP;NP;0;NP;NP;NP
NP;NP;0;NP;NP;NP
.30;NP;0;NP;NP;3
2;7,9;7.5;5;NP;10
2,3;4,9;5.7;4.5;10.5;7
3;5,1;6.6;5;15;10
.90;1;1;NP;12.75;NP
1,9;3,7;3.7;4.5;NP;10
2,9;8,8;9.1;4.5;15;10
NP;NP;0;NP;NP;NP
2,9;NP;0;5;13.5;10
3;7,8;8.5;5;15;10
NP;NP;0;NP;0;NP
3;6,8;7.8;5;15;10
1;3;3;3;NP;4
3;.50;.50;5;15;10
2,9;8;8.5;4.5;15;10
2,8;6,2;7.1;4;15;10
3;8,3;8.8;5;15;10
2;7,9;7.5;5;0;10
1;NP;0;NP;NP;10
2;1,1;1.1;5;15;NP
.30;NP;0;NP;0;3
.20;1,1;1.1;NP;NP;2
1,9;NP;0;4.5;NP;10
.50;NP;0;NP;NP;5
1,5;NP;0;2.5;NP;10
NP;NP;0;NP;NP;NP
2,8;1,3;1.3;5;11.25;10
2,8;5,8;6.9;4.5;15;9
2;6;6.2;5;NP;10
3;7,9;8.5;5;15;10
1;NP;0;5;NP;NP
3;7,4;8.2;5;15;10
1;1,6;1.6;3;NP;4
.70;3,3;3.3;NP;9.75;NP
NP;NP;0;NP;NP;NP
3;2,6;2.6;5;15;10
NP;NP;0;NP;NP;NP
2,7;6;6.9;4;15;9
2;NP;0;5;NP;10
NP;NP;0;NP;NP;NP
3;5,8;7.1;5;15;10
1,9;NP;0;4.5;NP;10
NP;.50;.50;NP;0;NP
NP;NP;0;NP;NP;NP
NP;NP;0;NP;NP;NP
2;8,6;8;5;0;10
.80;NP;0;NP;NP;8
3;9;9.3;5;15;10
2,9;NP;0;5;12.75;10
2;NP;0;5;NP;10
2,7;.50;.50;3.5;15;10
1,6;8,8;7.8;4;NP;8
1,5;8;7.1;2.5;9;4
2,4;NP;0;3.5;15;7
2,8;8,8;9;5;12;10
1,9;7,9;7.4;4.5;0;10
2;3,7;3.7;4;10.5;5
NP;NP;0;3.5;NP;8
1,5;1,3;1.3;NP;NP;3
.30;NP;0;5;13.5;10
3;9,3;9.5;4;NP;4
2,9;5,3;6.6;4.5;15;8
1,2;NP;0;NP;NP;NP
2,7;NP;0;5;15;10
2,4;NP;0;3.5;15;7
1;NP;0;NP;14.25;NP
1,9;7,6;7.2;4.5;NP;10
.50;NP;0;NP;0;5
2;NP;0;5;0;10
NP;NP;0;NP;NP;NP
3;10;10;5;15;10
2,8;7,2;7.8;4.5;15;9
.50;NP;0;NP;NP;5
2;3,5;3.5;5;NP;10
1,9;NP;0;4.5;NP;10
2;7,2;7;5;NP;10
NP;NP;0;NP;NP;2
.20;NP;0;NP;NP;NP
2;5,5;5.9;5;NP;10
3;.30;.30;5;15;10
3;7,9;8.5;5;15;10
NP;NP;0;NP;0;NP
1,5;NP;0;2.5;0;10
2,9;9;9.2;4.5;15;10
2;8;7.6;5;0;10
NP;NP;0;NP;NP;NP
1;NP;0;5;NP;NP
1,5;3,9;3.9;4;NP;7
3;2,4;2.4;5;15;10
2,9;8,6;8.9;5;13.5;10
NP;NP;0;NP;NP;NP
2,3;7,1;7.3;4.5;6;10
NP;NP;0;NP;NP;NP
2;8,6;8;5;NP;10
