PECFINAL;EX;NOTAFINAL;PEC1;PEC3;PEC2
2,2;7,1;7.2;10;7.5;4.5
1,5;8,5;7.5;10;NP;5
2,6;7;7.5;9;12;4.5
NP;NP;0;NP;NP;NP
2;1,9;1.9;4;12;4
NP;NP;0;NP;NP;NP
2,1;6,8;6.9;7;14.25;NP
3;7,2;8;10;15;5
1,5;NP;0;10;NP;5
2,5;2,5;2.5;6;15;4
1,2;2,7;2.7;9;NP;3
.80;3,4;3.4;3;NP;4.5
2,6;3,3;3.3;6;15;5
2,9;5,4;6.7;10;13.5;5
1,5;NP;0;NP;15;NP
NP;.90;.90;NP;NP;NP
NP;NP;0;NP;NP;NP
NP;NP;0;NP;NP;NP
1,8;NP;0;NP;13.5;4.5
1,1;4,9;5;7;NP;3.5
1;NP;0;5;NP;4.5
3;8,3;9;10;15;5
1,5;4,2;4.4;10;NP;5
NP;NP;0;NP;NP;NP
NP;NP;0;NP;NP;NP
1,5;9,3;8;10;NP;5
NP;NP;0;NP;NP;NP
NP;NP;0;NP;NP;NP
1,5;2;2;10;NP;5
2,2;.90;.90;4;15;3
3;6,4;5;10;15;4.5
.40;NP;0;4;NP;NP
.40;4,8;3.8;NP;NP;4
3;1,5;1.5;10;15;5
NP;NP;0;NP;NP;NP
.80;NP;0;8;NP;NP
3;6,5;7.6;10;15;5
2,2;3;3;5;12;5
NP;NP;0;NP;NP;NP
2,4;6,6;7;6;13.5;4
2,1;1,2;1.2;10;6;5
3;8,3;9;10;15;5
3;8,5;9;10;15;5
.40;NP;0;4;NP;NP
.90;NP;0;6;NP;3
1,5;.00;.00;10;NP;5
.90;NP;0;4;NP;4.5
NP;NP;0;NP;NP;NP
1,2;1,6;1.6;8;NP;4
NP;NP;0;NP;NP;NP
2,2;6,3;6.6;6;12;3.5
NP;NP;0;NP;NP;NP
.60;3;3;3;NP;2.5
2,6;5;6.1;8;13.5;4.5
2,7;NP;0;10;12.75;4.5
NP;NP;0;NP;NP;NP
1,5;7;6.4;10;NP;4.5
1,1;NP;0;6;NP;4.5
NP;3,7;3.7;NP;NP;NP
1,5;7,1;6.5;10;NP;4.5
NP;NP;0;NP;NP;NP
NP;NP;0;NP;NP;NP
NP;NP;0;NP;NP;NP
2,8;5,3;5;9;13.5;5
2,7;4,2;5.6;8;15;3.5
2,9;6,6;7.5;9;15;5
NP;.00;.00;NP;NP;NP
1,5;NP;0;10;NP;5
1,5;NP;0;10;NP;4.5
2,9;6;7.1;9;15;5
NP;NP;0;NP;NP;NP
2,9;7,8;8.4;9;15;5
2,8;7;7.7;10;13.5;4.5
2,8;5;6.3;10;13.5;4.5
NP;NP;0;NP;NP;NP
2,8;4,4;5.9;8;15;5
.20;.00;.00;2;NP;NP
1,4;NP;0;9;NP;5
1,5;5,1;5.1;10;NP;5
2,1;.30;.30;10;11.25;NP
NP;NP;0;NP;NP;NP
3;NP;0;10;15;5
.30;NP;0;3;NP;NP
1,4;6,8;6.2;9;NP;4.5
1;.10;.10;10;NP;NP
1,5;5,2;5.1;10;NP;5
NP;NP;0;NP;NP;NP
1;NP;0;6;NP;4
2,9;8,5;9;9;15;5
NP;NP;0;NP;NP;NP
1,5;6,1;5;10;NP;4.5
NP;NP;0;NP;NP;NP
2;NP;0;NP;15;5
NP;NP;0;NP;NP;NP
NP;NP;0;NP;NP;NP
2,7;3,7;3.7;10;12;4.5
1,2;4;4;8;NP;4
NP;NP;0;NP;NP;NP
2;4,9;5.4;6;11.25;3
NP;NP;0;NP;NP;NP
2,4;3,7;3.7;8;12;4
2,5;3;3;9;12;4
2,5;NP;0;10;15;NP
1;NP;0;6;NP;3.5
2,1;4,4;5.2;10;6;5
2,9;7,3;8;10;13.5;5
1,8;3,2;3.2;8;4.5;5
2,9;5,1;6.4;10;13.5;5
1,5;7,9;7;10;NP;5
3;7,8;8.5;10;15;5
NP;NP;0;NP;NP;NP
2,9;4,1;5.8;10;14.25;5
2;5,1;5.6;2;15;3
1,5;NP;0;10;NP;5
1,5;4,7;5;10;NP;4.5
3;5,1;6.5;10;15;4.5
NP;NP;0;NP;NP;NP
2;8,6;8;NP;15;5
3;8,3;9;10;15;4.5
NP;NP;0;NP;NP;NP
NP;NP;0;NP;NP;NP
NP;NP;0;NP;NP;NP
1,5;9;7.8;10;NP;5
NP;NP;0;NP;NP;NP
.80;.20;.20;5;NP;3
1,5;NP;0;10;NP;5
2,9;5,2;5;9;15;4.5
